tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,url,rating_ratio,dog_stage,retweet_count,favorite_count,language,followers_count,image_url,image_num,predict1,predict1_conf,predict1_dog,predict2,predict2_conf,predict2_dog,predict3,predict3_conf,predict3_dog
892420643555336193,2017-08-01 16:23:56+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. ,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10.0,Phineas,https://t.co/MgUWQ76dJU,1.3,,8853,39467,english,3200889,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,Orange,0.0970486,False,Bagel,0.0858511,False,Banana,0.07611,False
892177421306343426,2017-08-01 00:17:27+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. ",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10.0,Tilly,https://t.co/0Xxu71qeIV,1.3,,6514,33819,english,3200889,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True
891815181378084864,2017-07-31 00:18:03+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. ,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10.0,Archie,https://t.co/wUnZnhtVJB,1.2,,4328,25461,english,3200889,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True
891689557279858688,2017-07-30 15:58:51+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10.0,Darla,https://t.co/tD36da7qLQ,1.3,,8964,42908,english,3200889,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper_Towel,0.1702779999999999,False,Labrador_Retriever,0.1680859999999999,True,Spatula,0.0408359,False
891327558926688256,2017-07-29 16:00:24+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. ",https://twitter.com/dog_rates/status/891327558926688256/photo/1,12.0,10.0,Franklin,https://t.co/AtUZn91f7f,1.2,,9774,41048,english,3200889,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English_Springer,0.2257699999999999,True,German_Short-Haired_Pointer,0.175219,True
891087950875897856,2017-07-29 00:08:17+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. ,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10.0,None,https://t.co/kQ04fDDRmh,1.3,,3261,20562,english,3200889,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_Retriever,0.425595,True,Irish_Terrier,0.116317,True,Indian_Elephant,0.0769021999999999,False
890971913173991426,2017-07-28 16:27:12+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Jax. He enjoys ice cream so much he gets nervous around it. ,https://gofundme.com/ydvmve-surgery-for-jax,13.0,10.0,Jax,https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl,1.3,,2158,12041,english,3200889,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.341703,True,Border_Collie,0.199287,True,Ice_Lolly,0.193548,False
890729181411237888,2017-07-28 00:22:40+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. ,https://twitter.com/dog_rates/status/890729181411237888/photo/1,13.0,10.0,None,https://t.co/v0nONBcwxq,1.3,,16716,56848,english,3200889,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo_Dog,0.1784059999999999,True,Pembroke,0.0765069,True
890609185150312448,2017-07-27 16:25:51+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. ,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,10.0,Zoey,https://t.co/9TwLuAGH0b,1.3,,4429,28226,english,3200889,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_Terrier,0.4875739999999999,True,Irish_Setter,0.193054,True,Chesapeake_Bay_Retriever,0.118184,True
890240255349198849,2017-07-26 15:59:51+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. ,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10.0,Cassie,https://t.co/t1bfwz5S2A,1.4,doggo,7711,32467,english,3200889,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
